Listing Id 1,Listing Id 2,Close Price 1,Close Price 2,Above Grade Finished Area 1,Above Grade Finished Area 2,Close Price Difference,Above Grade Finished Area Difference,Price to Value Ratio
8671908,7686758,626000.0,480000.0,850.0,1125.0,146000.0,275.0,530.9090909090909
5110070,IR959771,505000.0,463500.0,1292.0,1004.0,41500.0,288.0,144.09722222222223
5110070,5862741,505000.0,480000.0,1292.0,1004.0,25000.0,288.0,86.80555555555556
5110070,IR971782,505000.0,489900.0,1292.0,1004.0,15100.0,288.0,52.43055555555556
5110070,2432296,505000.0,489900.0,1292.0,1004.0,15100.0,288.0,52.43055555555556
5110070,1654217,505000.0,425000.0,1292.0,1004.0,80000.0,288.0,277.77777777777777
4685315,IR962699,490000.0,510000.0,825.0,887.0,20000.0,62.0,322.5806451612903
9384816,3539117,570000.0,499000.0,1702.0,1075.0,71000.0,627.0,113.23763955342903
6628960,3396448,536000.0,540000.0,1288.0,1442.0,4000.0,154.0,25.974025974025974
2941353,2818530,545000.0,501000.0,1090.0,850.0,44000.0,240.0,183.33333333333334
2941353,IR965801,545000.0,520000.0,1090.0,850.0,25000.0,240.0,104.16666666666667
2941353,8980826,545000.0,520000.0,1090.0,850.0,25000.0,240.0,104.16666666666667
2941353,3326415,545000.0,550000.0,1090.0,850.0,5000.0,240.0,20.833333333333332
2941353,IR973724,545000.0,480000.0,1090.0,888.0,65000.0,202.0,321.7821782178218
2941353,3744427,545000.0,480000.0,1090.0,888.0,65000.0,202.0,321.7821782178218
2480503,2818530,520000.0,501000.0,1125.0,850.0,19000.0,275.0,69.0909090909091
2480503,IR965801,520000.0,520000.0,1125.0,850.0,0.0,275.0,0.0
2480503,8980826,520000.0,520000.0,1125.0,850.0,0.0,275.0,0.0
2480503,3326415,520000.0,550000.0,1125.0,850.0,30000.0,275.0,109.0909090909091
2480503,9861262,520000.0,479000.0,1125.0,850.0,41000.0,275.0,149.0909090909091
2480503,IR973724,520000.0,480000.0,1125.0,888.0,40000.0,237.0,168.77637130801688
2480503,3744427,520000.0,480000.0,1125.0,888.0,40000.0,237.0,168.77637130801688
2480503,3604680,520000.0,410000.0,1125.0,850.0,110000.0,275.0,400.0
1500848,4533182,500000.0,536000.0,850.0,1856.0,36000.0,1006.0,35.785288270377734
1500848,6143378,500000.0,439800.0,850.0,1452.0,60200.0,602.0,100.0
1500848,2345686,500000.0,521000.0,850.0,2146.0,21000.0,1296.0,16.203703703703702
6655947,3147619,510000.0,500000.0,1172.0,1000.0,10000.0,172.0,58.13953488372093
3780610,6047783,460000.0,490000.0,1834.0,1698.0,30000.0,136.0,220.58823529411765
3780610,9695808,460000.0,470000.0,1834.0,1779.0,10000.0,55.0,181.8181818181818
3780610,6273108,460000.0,450000.0,1834.0,1779.0,10000.0,55.0,181.8181818181818
9308837,6871117,521500.0,518555.0,850.0,1390.0,2945.0,540.0,5.453703703703703
7739537,3258821,545000.0,550000.0,1265.0,1636.0,5000.0,371.0,13.477088948787062
7739537,IR972932,545000.0,520000.0,1265.0,1325.0,25000.0,60.0,416.6666666666667
3258821,5893753,550000.0,530000.0,1636.0,1264.0,20000.0,372.0,53.763440860215056
IR962699,9196092,510000.0,477500.0,887.0,825.0,32500.0,62.0,524.1935483870968
IR962699,4805403,510000.0,497000.0,887.0,825.0,13000.0,62.0,209.67741935483872
3837465,6047783,555000.0,490000.0,1834.0,1698.0,65000.0,136.0,477.94117647058823
3837465,9695808,555000.0,470000.0,1834.0,1779.0,85000.0,55.0,1545.4545454545455
3837465,6273108,555000.0,450000.0,1834.0,1779.0,105000.0,55.0,1909.090909090909
3177446,3375086,451000.0,452000.0,1288.0,1480.0,1000.0,192.0,5.208333333333333
3177446,5380905,451000.0,447500.0,1288.0,1480.0,3500.0,192.0,18.229166666666668
2818530,1505114,501000.0,561000.0,850.0,1380.0,60000.0,530.0,113.20754716981132
2818530,8577349,501000.0,500000.0,850.0,1100.0,1000.0,250.0,4.0
2818530,IR972958,501000.0,460000.0,850.0,1150.0,41000.0,300.0,136.66666666666666
2818530,5917917,501000.0,460000.0,850.0,1150.0,41000.0,300.0,136.66666666666666
2818530,7544812,501000.0,450000.0,850.0,984.0,51000.0,134.0,380.5970149253731
2564246,6047783,545000.0,490000.0,1834.0,1698.0,55000.0,136.0,404.4117647058824
