Listing Id 1,Listing Id 2,Close Price 1,Close Price 2,Lot Size Square Feet 1,Lot Size Square Feet 2,Close Price Difference,Lot Size Square Feet Difference,Price to Value Ratio
8236453,3604680,490000.0,410000.0,11700.0,7500.0,80000.0,4200.0,19.047619047619047
2956955,3399550,498000.0,485000.0,7000.0,8400.0,13000.0,1400.0,9.285714285714286
7281594,3680253,485000.0,502000.0,8100.0,4356.0,17000.0,3744.0,4.5405982905982905
9308837,3909585,521500.0,489750.0,9230.0,15071.0,31750.0,5841.0,5.435713062831707
9308837,7479660,521500.0,535000.0,9230.0,7350.0,13500.0,1880.0,7.180851063829787
9308837,9747735,521500.0,330000.0,9230.0,7200.0,191500.0,2030.0,94.33497536945812
9308837,4813491,521500.0,455000.0,9230.0,7000.0,66500.0,2230.0,29.820627802690584
9308837,2935462,521500.0,443800.0,9230.0,7405.2,77700.0,1824.8000000000002,42.58000876808417
9332346,2818530,500000.0,501000.0,9100.0,7500.0,1000.0,1600.0,0.625
9332346,3692317,500000.0,461000.0,9100.0,14250.0,39000.0,5150.0,7.572815533980583
9332346,IR965801,500000.0,520000.0,9100.0,6440.0,20000.0,2660.0,7.518796992481203
9332346,8980826,500000.0,520000.0,9100.0,6440.0,20000.0,2660.0,7.518796992481203
9332346,3326415,500000.0,550000.0,9100.0,7670.0,50000.0,1430.0,34.96503496503497
9332346,IR973724,500000.0,480000.0,9100.0,7875.0,20000.0,1225.0,16.3265306122449
9332346,3744427,500000.0,480000.0,9100.0,7875.0,20000.0,1225.0,16.3265306122449
9332346,3604680,500000.0,410000.0,9100.0,7500.0,90000.0,1600.0,56.25
7739537,5893753,545000.0,530000.0,8550.0,9775.0,15000.0,1225.0,12.244897959183673
2818530,3692317,501000.0,461000.0,7500.0,14250.0,40000.0,6750.0,5.925925925925926
8014499,1998529,505000.0,485000.0,7260.0,8276.0,20000.0,1016.0,19.68503937007874
2564246,3210187,545000.0,500000.0,7200.0,8400.0,45000.0,1200.0,37.5
2564246,8665499,545000.0,475000.0,7200.0,8250.0,70000.0,1050.0,66.66666666666667
3909585,7479660,489750.0,535000.0,15071.0,7350.0,45250.0,7721.0,5.860639813495661
3909585,2604145,489750.0,475000.0,15071.0,6969.6,14750.0,8101.4,1.8206729701039328
3909585,9747735,489750.0,330000.0,15071.0,7200.0,159750.0,7871.0,20.29602337695337
3909585,4813491,489750.0,455000.0,15071.0,7000.0,34750.0,8071.0,4.305538347168876
3909585,2935462,489750.0,443800.0,15071.0,7405.2,45950.0,7665.8,5.994155861097341
3909585,4866068,489750.0,432000.0,15071.0,8505.0,57750.0,6566.0,8.795309168443497
4702769,3287735,433000.0,505000.0,7500.0,8712.0,72000.0,1212.0,59.40594059405941
4702769,3680253,433000.0,502000.0,7500.0,4356.0,69000.0,3144.0,21.946564885496183
1818513,3287735,503100.0,505000.0,7000.0,8712.0,1900.0,1712.0,1.1098130841121496
3692317,3326415,461000.0,550000.0,14250.0,7670.0,89000.0,6580.0,13.525835866261398
3692317,8796724,461000.0,472500.0,14250.0,8400.0,11500.0,5850.0,1.9658119658119657
3692317,3604680,461000.0,410000.0,14250.0,7500.0,51000.0,6750.0,7.555555555555555
3287735,4702539,505000.0,510000.0,8712.0,7300.0,5000.0,1412.0,3.5410764872521248
3287735,3680253,505000.0,502000.0,8712.0,4356.0,3000.0,4356.0,0.6887052341597796
3287735,3716150,505000.0,492000.0,8712.0,7400.0,13000.0,1312.0,9.908536585365853
3287735,6820887,505000.0,455000.0,8712.0,6969.6,50000.0,1742.3999999999996,28.696051423324157
4702539,3680253,510000.0,502000.0,7300.0,4356.0,8000.0,2944.0,2.717391304347826
3399550,9271341,485000.0,450000.0,8400.0,7000.0,35000.0,1400.0,25.0
7479660,4866068,535000.0,432000.0,7350.0,8505.0,103000.0,1155.0,89.17748917748918
3210187,6114754,500000.0,475000.0,8400.0,7200.0,25000.0,1200.0,20.833333333333332
1827159,IR971875,535000.0,515000.0,6098.4,7405.0,20000.0,1306.6000000000004,15.306903413439457
IR965801,1610831,520000.0,510000.0,6440.0,7681.0,10000.0,1241.0,8.058017727639001
IR965801,9861262,520000.0,479000.0,6440.0,8400.0,41000.0,1960.0,20.918367346938776
IR965801,7182933,520000.0,492000.0,6440.0,8712.0,28000.0,2272.0,12.32394366197183
8980826,1610831,520000.0,510000.0,6440.0,7681.0,10000.0,1241.0,8.058017727639001
8980826,9861262,520000.0,479000.0,6440.0,8400.0,41000.0,1960.0,20.918367346938776
8980826,7182933,520000.0,492000.0,6440.0,8712.0,28000.0,2272.0,12.32394366197183
1610831,7182933,510000.0,492000.0,7681.0,8712.0,18000.0,1031.0,17.458777885548013
3580806,9271341,490000.0,450000.0,9147.6,7000.0,40000.0,2147.6000000000004,18.62544235425591
2604145,4866068,475000.0,432000.0,6969.6,8505.0,43000.0,1535.3999999999996,28.005731405496945
9196092,4805403,477500.0,497000.0,6969.6,8276.4,19500.0,1306.7999999999993,14.921946740128567
4805403,9447739,497000.0,450000.0,8276.4,7000.0,47000.0,1276.3999999999996,36.82231275462239
9747735,4866068,330000.0,432000.0,7200.0,8505.0,102000.0,1305.0,78.16091954022988
8665499,6114754,475000.0,475000.0,8250.0,7200.0,0.0,1050.0,0.0
5893753,7817574,530000.0,515000.0,9775.0,7875.0,15000.0,1900.0,7.894736842105263
8374785,4677583,505000.0,535000.0,4500.0,6464.0,30000.0,1964.0,15.274949083503055
3680253,6820887,502000.0,455000.0,4356.0,6969.6,47000.0,2613.6000000000004,17.9828588919498
4813491,4866068,455000.0,432000.0,7000.0,8505.0,23000.0,1505.0,15.282392026578073
8725802,9311605,555000.0,500000.0,8858.0,9900.0,55000.0,1042.0,52.783109404990405
3505430,6143378,476500.0,439800.0,8480.0,7405.2,36700.0,1074.8000000000002,34.145887606996645
2935462,4866068,443800.0,432000.0,7405.2,8505.0,11800.0,1099.8000000000002,10.72922349518094
