Pair Number,Listing Id 1,Bathrooms Full 1,Close Price 1,Listing Id 2,Bathrooms Full 2,Close Price 2,Price Diff,Bathrooms Full Diff,Price Change PSF
46,7690104,2.0,523000.0,6964114,2.0,500000.0,23000.0,0.0,0
47,9623639,2.0,556500.0,5161785,2.0,481566.0,74934.0,0.0,0
48,7239634,2.0,492000.0,6066497,2.0,515000.0,23000.0,0.0,0
49,2057640,2.0,475000.0,IR965801,2.0,520000.0,45000.0,0.0,0
50,6504391,2.0,471000.0,2956955,2.0,498000.0,27000.0,0.0,0
51,4094648,2.0,440000.0,9308837,2.0,521500.0,81500.0,0.0,0
52,7029472,2.0,520000.0,6655947,2.0,510000.0,10000.0,0.0,0
53,3454886,2.0,460000.0,7518097,2.0,397500.0,62500.0,0.0,0
54,7797453,2.0,546000.0,7817574,2.0,515000.0,31000.0,0.0,0
55,6329970,2.0,593000.0,6822791,2.0,495000.0,98000.0,0.0,0
56,5829037,2.0,510000.0,2206772,2.0,500000.0,10000.0,0.0,0
57,7544212,2.0,560000.0,7672518,2.0,512000.0,48000.0,0.0,0
58,2077952,2.0,505000.0,3287735,2.0,505000.0,0.0,0.0,0
59,5110070,2.0,505000.0,5862741,2.0,480000.0,25000.0,0.0,0
60,2620614,1.0,431500.0,6736869,2.0,450000.0,18500.0,53.0,349.0
61,6135593,2.0,535000.0,6242084,2.0,480000.0,55000.0,0.0,0
62,9384816,2.0,570000.0,3539117,2.0,499000.0,71000.0,0.0,0
63,6628960,2.0,536000.0,3396448,2.0,540000.0,4000.0,0.0,0
64,3226464,2.0,530000.0,5545387,2.0,420000.0,110000.0,0.0,0
65,2480503,2.0,520000.0,8980826,2.0,520000.0,0.0,0.0,0
66,1500848,2.0,500000.0,2107349,1.0,412000.0,88000.0,1.0,88000.0
67,8236453,2.0,490000.0,3326415,2.0,550000.0,60000.0,0.0,0
68,3780610,2.0,460000.0,6047783,2.0,490000.0,30000.0,0.0,0
69,9332346,2.0,500000.0,IR973724,2.0,480000.0,20000.0,0.0,0
70,3837465,2.0,555000.0,6273108,2.0,450000.0,105000.0,0.0,0
71,3177446,2.0,451000.0,3375086,2.0,452000.0,1000.0,0.0,0
72,6894963,2.0,425000.0,9747735,2.0,330000.0,95000.0,0.0,0
73,3909585,2.0,489750.0,4813491,2.0,455000.0,34750.0,0.0,0
74,7406505,2.0,535000.0,IR972932,2.0,520000.0,15000.0,0.0,0
75,2456427,2.0,521000.0,6451879,2.0,470000.0,51000.0,0.0,0
76,1505114,2.0,561000.0,8577349,2.0,500000.0,61000.0,0.0,0
77,3692317,2.0,461000.0,8796724,2.0,472500.0,11500.0,0.0,0
78,8971440,3.0,504000.0,5380905,2.0,447500.0,56500.0,1.0,56500.0
79,3399550,2.0,485000.0,9861262,2.0,479000.0,6000.0,0.0,0
80,3514617,2.0,495000.0,IR972958,2.0,460000.0,35000.0,0.0,0
81,7479660,2.0,535000.0,3744427,2.0,480000.0,55000.0,0.0,0
82,3147619,2.0,500000.0,3716150,2.0,492000.0,8000.0,0.0,0
83,7767747,3.0,605000.0,IR967840,3.0,535000.0,70000.0,0.0,0
84,4742527,1.0,538000.0,3150528,1.0,439000.0,99000.0,0.0,0
85,9931895,2.0,525000.0,4571269,2.0,495000.0,30000.0,0.0,0
86,6360923,2.0,490000.0,5329736,2.0,500000.0,10000.0,0.0,0
87,3580806,2.0,490000.0,9271341,2.0,450000.0,40000.0,0.0,0
88,2604145,2.0,475000.0,4866068,2.0,432000.0,43000.0,0.0,0
89,4805403,2.0,497000.0,4270571,2.0,500000.0,3000.0,0.0,0
90,9447739,2.0,450000.0,1518868,2.0,425000.0,25000.0,0.0,0
91,4835429,2.0,565000.0,8725802,2.0,555000.0,10000.0,0.0,0
92,8665499,2.0,475000.0,6114754,2.0,475000.0,0.0,0.0,0
93,IR967360,2.0,460000.0,8127919,2.0,400000.0,60000.0,0.0,0
94,IR971782,2.0,489900.0,5257790,2.0,471500.0,18400.0,0.0,0
95,7737757,2.0,480000.0,1654217,2.0,425000.0,55000.0,0.0,0
