Listing Id 1,Listing Id 2
5965894,IR973724
5965894,3744427
5965894,9271341
5965894,9525006
5965894,1998529
5965894,7686758
5965894,4866068
4868629,6680808
4868629,1957163
4868629,5235457
4868629,5727719
4868629,6138728
4868629,7170323
4868629,5893795
4868629,3714339
4868629,2269467
4868629,IR957161
4868629,5960390
4868629,1857476
4868629,2858375
4868629,IR956142
4868629,1514568
4868629,6604492
4868629,9855052
4868629,7785361
4868629,6504391
4868629,4737519
4868629,4428336
4868629,7544212
4868629,4820257
4868629,7327211
4868629,3865941
4868629,6339702
4868629,2941353
4868629,2480503
4868629,8236453
4868629,2956955
4868629,9348176
4868629,7281594
4868629,9332346
4868629,6894963
4868629,2818530
4868629,8014499
4868629,3909585
4868629,2456427
4868629,7672518
4868629,3399550
4868629,3514617
4868629,IR965801
4868629,8980826
4868629,2604145
4868629,9747735
4868629,3326415
4868629,9861262
4868629,6451879
4868629,6379199
4868629,3680253
4868629,2644766
4868629,9932302
4868629,4677583
4868629,IR973724
4868629,3744427
4868629,9271341
4868629,9525006
4868629,1998529
4868629,7686758
4868629,4866068
6680808,1957163
6680808,3556451
6680808,8572961
6680808,IR979306
6680808,6552595
6680808,5235457
6680808,5727719
6680808,3792339
6680808,9028170
6680808,6138728
6680808,7101369
6680808,5261611
6680808,7239080
6680808,7170323
6680808,5893795
6680808,2269467
6680808,IR957161
6680808,5960390
6680808,1857476
6680808,8239606
6680808,IR956142
6680808,1514568
6680808,4478531
6680808,1920110
6680808,6604492
6680808,9855052
6680808,4128049
6680808,6582490
6680808,9032924
6680808,7239634
6680808,2057640
6680808,6504391
6680808,8056093
6680808,7029472
6680808,4737519
6680808,4428336
6680808,7544212
6680808,8671908
6680808,4685315
6680808,4820257
6680808,3865941
6680808,6339702
6680808,2941353
6680808,6191654
6680808,2480503
6680808,7398046
6680808,8236453
6680808,2956955
6680808,9348176
6680808,7281594
6680808,9332346
6680808,6894963
6680808,8014499
6680808,8366332
6680808,3909585
6680808,4702769
6680808,2456427
6680808,7672518
6680808,3287735
6680808,4702539
6680808,3399550
6680808,3514617
6680808,7767747
6680808,6066497
6680808,IR965801
6680808,8980826
6680808,1610831
6680808,3580806
6680808,2604145
6680808,9196092
6680808,4805403
6680808,9447739
6680808,9747735
6680808,8843102
6680808,9861262
6680808,6451879
6680808,7182933
6680808,IR967360
6680808,6379199
6680808,3680253
6680808,9932302
6680808,IR967840
6680808,IR973724
6680808,3744427
6680808,6820887
6680808,1518868
6680808,9271341
6680808,9525006
6680808,1998529
6680808,4270571
6680808,7686758
1957163,3556451
1957163,8572961
1957163,IR979306
1957163,6552595
1957163,5235457
1957163,5727719
1957163,3792339
1957163,9028170
